"Name","ID","Class","Entry","Symbol","EC","KO","Description"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","224","ALDH3A2","1.2.1.3","K00128","aldehyde dehydrogenase 3 family member A2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","219","ALDH1B1","1.2.1.3","K00128","aldehyde dehydrogenase 1 family member B1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","501","ALDH7A1","1.2.1.3 1.2.1.8 1.2.1.31","K14085","aldehyde dehydrogenase 7 family member A1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","223","ALDH9A1","1.2.1.3 1.2.1.47","K00149","aldehyde dehydrogenase 9 family member A1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","221","ALDH3B1","1.2.1.5","K00129","aldehyde dehydrogenase 3 family member B1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","222","ALDH3B2","1.2.1.5","K00129","aldehyde dehydrogenase 3 family member B2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","220","ALDH1A3","1.2.1.5","K00129","aldehyde dehydrogenase 1 family member A3"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","218","ALDH3A1","1.2.1.5","K00129","aldehyde dehydrogenase 3 family member A1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","84532","ACSS1","6.2.1.1","K01895","acyl-CoA synthetase short-chain family member 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","55902","ACSS2","6.2.1.1","K01895","acyl-CoA synthetase short-chain family member 2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","130589","GALM","5.1.3.3","K01785","galactose mutarotase"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5236","PGM1","5.4.2.2","K01835","phosphoglucomutase 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","55276","PGM2","5.4.2.7 5.4.2.2","K15779","phosphoglucomutase 2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","2538","G6PC","3.1.3.9","K01084","glucose-6-phosphatase catalytic subunit"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","57818","G6PC2","3.1.3.9","K01084","glucose-6-phosphatase catalytic subunit 2"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","92579","G6PC3","3.1.3.9","K01084","glucose-6-phosphatase catalytic subunit 3"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","83440","ADPGK","2.7.1.147","K08074","ADP dependent glucokinase"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","669","BPGM","5.4.2.11 5.4.2.4","K01837","bisphosphoglycerate mutase"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","9562","MINPP1","3.1.3.80 3.1.3.62","K03103","multiple inositol-polyphosphate phosphatase 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5105","PCK1","4.1.1.32","K01596","phosphoenolpyruvate carboxykinase 1"
"Glycolysis / Gluconeogenesis","hsa00010","Metabolism; Carbohydrate metabolism","5106","PCK2","4.1.1.32","K01596","phosphoenolpyruvate carboxykinase 2, mitochondrial"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","1431","CS","2.3.3.1","K01647","citrate synthase"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","47","ACLY","2.3.3.8","K01648","ATP citrate lyase"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","50","ACO2","4.2.1.3","K01681","aconitase 2"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","48","ACO1","4.2.1.3","K01681","aconitase 1"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","3417","IDH1","1.1.1.42","K00031","isocitrate dehydrogenase (NADP(+)) 1, cytosolic"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","3418","IDH2","1.1.1.42","K00031","isocitrate dehydrogenase (NADP(+)) 2, mitochondrial"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","3420","IDH3B","1.1.1.41","K00030","isocitrate dehydrogenase 3 (NAD(+)) beta"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","3421","IDH3G","1.1.1.41","K00030","isocitrate dehydrogenase 3 (NAD(+)) gamma"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","3419","IDH3A","1.1.1.41","K00030","isocitrate dehydrogenase 3 (NAD(+)) alpha"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","55753","OGDHL","1.2.4.2","K00164","oxoglutarate dehydrogenase-like"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","4967","OGDH","1.2.4.2","K00164","oxoglutarate dehydrogenase"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","1743","DLST","2.3.1.61","K00658","dihydrolipoamide S-succinyltransferase"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","1738","DLD","1.8.1.4","K00382","dihydrolipoamide dehydrogenase"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","8802","SUCLG1","6.2.1.5 6.2.1.4","K01899","succinate-CoA ligase alpha subunit"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","8801","SUCLG2","6.2.1.5 6.2.1.4","K01900","succinate-CoA ligase GDP-forming beta subunit"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","8803","SUCLA2","6.2.1.5 6.2.1.4","K01900","succinate-CoA ligase ADP-forming beta subunit"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","6389","SDHA","1.3.5.1","K00234","succinate dehydrogenase complex flavoprotein subunit A"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","6390","SDHB","1.3.5.1","K00235","succinate dehydrogenase complex iron sulfur subunit B"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","6391","SDHC","SDHC; succinate dehydrogenase complex subunit C [KO:K00236","K00236","succinate dehydrogenase complex subunit C"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","6392","SDHD","SDHD; succinate dehydrogenase complex subunit D [KO:K00237","K00237","succinate dehydrogenase complex subunit D"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","2271","FH","4.2.1.2","K01679","fumarate hydratase"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","4190","MDH1","1.1.1.37","K00025","malate dehydrogenase 1"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","4191","MDH2","1.1.1.37","K00026","malate dehydrogenase 2"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","5091","PC","6.4.1.1","K01958","pyruvate carboxylase"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","5105","PCK1","4.1.1.32","K01596","phosphoenolpyruvate carboxykinase 1"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","5106","PCK2","4.1.1.32","K01596","phosphoenolpyruvate carboxykinase 2, mitochondrial"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","5161","PDHA2","1.2.4.1","K00161","pyruvate dehydrogenase (lipoamide) alpha 2"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","5160","PDHA1","1.2.4.1","K00161","pyruvate dehydrogenase (lipoamide) alpha 1"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","5162","PDHB","1.2.4.1","K00162","pyruvate dehydrogenase (lipoamide) beta"
"Citrate cycle (TCA cycle)","hsa00020","Metabolism; Carbohydrate metabolism","1737","DLAT","2.3.1.12","K00627","dihydrolipoamide S-acetyltransferase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","2821","GPI","5.3.1.9","K01810","glucose-6-phosphate isomerase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","2539","G6PD","1.1.1.363 1.1.1.49","K00036","glucose-6-phosphate dehydrogenase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","25796","PGLS","3.1.1.31","K01057","6-phosphogluconolactonase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","9563","H6PD","3.1.1.31 1.1.1.47","K13937","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","5226","PGD","1.1.1.343 1.1.1.44","K00033","phosphogluconate dehydrogenase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","6120","RPE","5.1.3.1","K01783","ribulose-5-phosphate-3-epimerase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","729020","RPEL1","5.1.3.1","K01783","ribulose-5-phosphate-3-epimerase like 1"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","7086","TKT","2.2.1.1","K00615","transketolase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","84076","TKTL2","2.2.1.1","K00615","transketolase like 2"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","8277","TKTL1","2.2.1.1","K00615","transketolase like 1"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","6888","TALDO1","2.2.1.2","K00616","transaldolase 1"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","22934","RPIA","5.3.1.6","K01807","ribose 5-phosphate isomerase A"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","51071","DERA","4.1.2.4","K01619","deoxyribose-phosphate aldolase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","64080","RBKS","2.7.1.15","K00852","ribokinase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","5236","PGM1","5.4.2.2","K01835","phosphoglucomutase 1"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","55276","PGM2","5.4.2.7 5.4.2.2","K15779","phosphoglucomutase 2"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","221823","PRPS1L1","2.7.6.1","K00948","phosphoribosyl pyrophosphate synthetase 1-like 1"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","5634","PRPS2","2.7.6.1","K00948","phosphoribosyl pyrophosphate synthetase 2"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","5631","PRPS1","2.7.6.1","K00948","phosphoribosyl pyrophosphate synthetase 1"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","9104","RGN","3.1.1.17","K01053","regucalcin"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","414328","IDNK","2.7.1.12","K00851","IDNK, gluconokinase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","132158","GLYCTK","2.7.1.165","K11529","glycerate kinase"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","230","ALDOC","4.1.2.13","K01623","aldolase, fructose-bisphosphate C"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","226","ALDOA","4.1.2.13","K01623","aldolase, fructose-bisphosphate A"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","229","ALDOB","4.1.2.13","K01623","aldolase, fructose-bisphosphate B"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","2203","FBP1","3.1.3.11","K03841","fructose-bisphosphatase 1"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","8789","FBP2","3.1.3.11","K03841","fructose-bisphosphatase 2"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","5213","PFKM","2.7.1.11","K00850","phosphofructokinase, muscle"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","5214","PFKP","2.7.1.11","K00850","phosphofructokinase, platelet"
"Pentose phosphate pathway","hsa00030","Metabolism; Carbohydrate metabolism","5211","PFKL","2.7.1.11","K00850","phosphofructokinase, liver type"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","2990","GUSB","3.2.1.31","K01195","glucuronidase beta"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","9365","KL","3.2.1.31","K14756","klotho"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","10941","UGT2A1","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member A1 complex locus"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","79799","UGT2A3","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member A3"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","7367","UGT2B17","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member B17"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","10720","UGT2B11","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member B11"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54490","UGT2B28","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member B28"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54578","UGT1A6","2.4.1.17","K00699","UDP glucuronosyltransferase family 1 member A6"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54657","UGT1A4","2.4.1.17","K00699","UDP glucuronosyltransferase family 1 member A4"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54658","UGT1A1","2.4.1.17","K00699","UDP glucuronosyltransferase family 1 member A1"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54659","UGT1A3","2.4.1.17","K00699","UDP glucuronosyltransferase family 1 member A3"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","7365","UGT2B10","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member B10"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54600","UGT1A9","2.4.1.17","K00699","UDP glucuronosyltransferase family 1 member A9"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","7364","UGT2B7","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member B7"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54575","UGT1A10","2.4.1.17","K00699","UDP glucuronosyltransferase family 1 member A10"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54576","UGT1A8","2.4.1.17","K00699","UDP glucuronosyltransferase family 1 member A8"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54579","UGT1A5","2.4.1.17","K00699","UDP glucuronosyltransferase family 1 member A5"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","7366","UGT2B15","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member B15"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","54577","UGT1A7","2.4.1.17","K00699","UDP glucuronosyltransferase family 1 member A7"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","7363","UGT2B4","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member B4"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","574537","UGT2A2","2.4.1.17","K00699","UDP glucuronosyltransferase family 2 member A2"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","7358","UGDH","1.1.1.22","K00012","UDP-glucose 6-dehydrogenase"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","7360","UGP2","2.7.7.9","K00963","UDP-glucose pyrophosphorylase 2"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","10327","AKR1A1","1.1.1.2","K00002","aldo-keto reductase family 1 member A1"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","51084","CRYL1","1.1.1.45","K13247","crystallin lambda 1"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","6120","RPE","5.1.3.1","K01783","ribulose-5-phosphate-3-epimerase"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","729020","RPEL1","5.1.3.1","K01783","ribulose-5-phosphate-3-epimerase like 1"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","9942","XYLB","2.7.1.17","K00854","xylulokinase"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","231","AKR1B1","1.1.1.21","K00011","aldo-keto reductase family 1 member B"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","57016","AKR1B10","1.1.1.21","K00011","aldo-keto reductase family 1 member B10"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","51181","DCXR","1.1.1.10","K03331","dicarbonyl and L-xylulose reductase"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","6652","SORD","1.1.1.14","K00008","sorbitol dehydrogenase"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","27294","DHDH","1.1.1.179 1.3.1.20","K00078","dihydrodiol dehydrogenase"
"Pentose and glucuronate interconversions","hsa00040","Metabolism; Carbohydrate metabolism","729920","ISPD","2.7.7.40","K21031","isoprenoid synthase domain containing"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","4351","MPI","5.3.1.8","K01809","mannose phosphate isomerase"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","5373","PMM2","5.4.2.8","K17497","phosphomannomutase 2"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","5372","PMM1","5.4.2.8","K17497","phosphomannomutase 1"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","29925","GMPPB","2.7.7.13","K00966","GDP-mannose pyrophosphorylase B"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","29926","GMPPA","2.7.7.13","K00966","GDP-mannose pyrophosphorylase A"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","2762","GMDS","4.2.1.47","K01711","GDP-mannose 4,6-dehydratase"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","7264","TSTA3","1.1.1.271","K02377","tissue specific transplantation antigen P35B"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","8790","FPGT","2.7.7.30","K00976","fucose-1-phosphate guanylyltransferase"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","197258","FUK","2.7.1.52","K05305","fucokinase"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","55556","ENOSF1","4.2.1.68","K18334","enolase superfamily member 1"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","3101","HK3","2.7.1.1","K00844","hexokinase 3"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","3098","HK1","2.7.1.1","K00844","hexokinase 1"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","3099","HK2","2.7.1.1","K00844","hexokinase 2"
"Fructose and mannose metabolism","hsa00051","Metabolism; Carbohydrate metabolism","80201","HKDC1","2.7.1.1","K00844","hexokinase domain containing 1"
