Used_ID,Abb,KEGG.ID,Nr.C,Polarity,Rt,formula,Pathway
dG,dG,C00330,10,,,,
dGDP,dGDP,C00361,10,,,,
dGMP,dGMP,C00362,10,,,,
dGTP,dGTP,C00286,10,,,,
DHA,DHA,C05422,6,,,,
Dihydroorotate,Dihydroorotate,C00337,5,,,,
Dihydrouracil,Dihydrouracil,C00429,4,,,,
Dihydroxyacetone-P,DHAP,C00111,3,,,,
Dimethylglycine,DMG,C01026,4,,,,
DOPA,DOPA,C00355,9,,,,
Dopamine,Dopamine,C03758,8,,,,
dRib,dRib,C01801,5,,,,
dRibP,dRibP,C00673,5,,,,
dS7P,dS7P,C99999,7,,,,
dT,T,C00214,10,,,,
dTMP,dTMP,C00364,10,,,,
dTTP,dTTP,C00459,10,,,,
dU,dU,C00526,9,,,,
dUMP,dUMP,C00365,9,,,,
dUTP,dUTP,C00460,9,,,,
Folic Acid (Vitamin B9),Folate,C00504,19,,,,
Fructose,Fru,C00095,6,,,,
Fructose-1-phosphate,F1P,C01094,6,,,,
Fructose-6-phosphate,F6P,C00085,6,,,,
"Fructose-1,6-bisphosphate",F16BP,C00354,6,,,,
Fumarate,Fum,C00122,4,,,,
G,G,C00387,10,,,,
GABA,GABA,C00334,4,,,,
GDP,GDP,C00035,10,,,,
GDP-d-mannose,GDP-Mannose,C00096,16,,,,
g-GluCys,g-GluCys,C00669,8,,,,
GlcNAc,GlcNAc,C00140,8,,,,
GlcNAc-1P,GlcNAc-1P,C04256,8,,,,
GlcNAc-6-phosphate,GlcNAc-6P,C00357,8,,,,
Gluconic acid,Gluconate,C00257,6,,,,
Glucono-15-lactone-6P,Glucono-15-lactone-6P,C01236,6,,,,PPP
Glucosamine,GlcN,C00329,6,,,,
GlcN-1P,GlcN-1P,C03783,6,,,,
Glucosamine-6-phosphate,GlcN-6P,C00352,6,,,,
Glucose,Glc,C00031,6,,,,
"Glucose-1,6-bisphosphate",G16BP,C01231,6,,,,
Glucose-1-phosphate,G1P,C00103,6,,,,
Glucose-6-phosphate,G6P,C00092,6,,,,
Glucuronic Acid,GlucA,C00191,6,,,,
GluNAc,GluNAc,C00624,7,,,,
Glutamate,Glu,C00025,5,,,,
Glutamine,Gln,C00064,5,,,,
Glyceraldehyde-3-phosphate,G3P,C00118,3,,,,
Glycerate,Glycerate,C00258,3,,,,
Glycerol,Glycerol,C00116,3,,,,
Glycerol-2-phosphate,Glycerol-2-P,C02979,3,,,,
Glycerol-3-phosphate,Glycerol-3-P,C00093,3,,,,
Glyoxylate,Glyoxylate,C00048,2,,,,
Glycine,Gly,C00037,2,,,,
GMP,GMP,C00144,10,,,,
GSH,GSH,C00051,10,,,,
GSSG,GSSG,C00127,20,,,,
GTP,GTP,C00044,10,,,,
Guanine,Guanine,C00242,5,,,,
Hexose phosphate,G6P-F6P,C00085,6,,,,
Hippuric Acid,Hippuric Acid,C01586,9,,,,Phenylalanin metabolism
Histidine,His,C00135,6,,,,
HMG-CoA,HMG-CoA,C00356,27,,,C27H44N7O20P3S,Ketone bodies metabolism
Homocysteine,Homocysteine,C00155,4,,,,
2-Hydroxyisocaproic acid,2-HIC,C03264,6,,,,
Hydroxyproline,Pro-OH,C01157,5,,,,
Hypotaurine,Hypotaurine,C00519,2,,,,
Hypoxanthine,Hypoxanthine,C00262,5,,,,
IDP,IDP,C00104,10,,,,
IMP,IMP,C00130,10,,,,
Inosine,Inosine,C00294,10,,,,
Inositol,Inositol,C00137,6,,,,
Isocaproic Acid,Isocaproate,HMDB0000689,6,,,,
Isocitric Acid,iCit,C00311,6,,,,
Kynurenine,Kynurenine,C00328,10,,,,
L-DOPA,L-DOPA,C00355,9,,,,
Lactate,Lac,C00186,3,,,,
Leucine-Isoleucine,Leu/Ile,C00123,6,,,,
Lysine,Lys,C00047,6,,,,
Malate,Mal,C00149,4,,,,
Maleic Acid,Maleic Acid,C01384,4,,,,
Malonyl-CoA,Malonyl-CoA,C00083,24,,,C24H38N7O19P3S,Fatty acid metabolism
Methionine,Met,C00073,5,,,,
Mevalonate,Mevalonate,C00418,6,,,,
Mevalonate-5P,Mevalonate-5P,C01107,6,,,,
NAD+,NAD+,C00003,21,,,,
NADH,NADH,C00004,21,,,,
NADP+,NADP+,C00006,21,,,,
NADPH,NADPH,C00005,21,,,,
N-Carbamoyl-L-aspartate,Carbamoyl-Asp,C00438,5,,,,
Nicotinamide,Nicotinamide,C00153,6,,,,
Nicotinamide ribotide,Nicotinamide ribotide,C00455,11,,,,
Nicotinate,Nicotinate,C00253,6,,,,
Nicotine,Nicotine,C00745,10,,,,
Norvaline,Norvaline,C01799,5,,,,
Ornithine,Ornithine,C00077,5,,10.5,,
Orotate,Orotate,C00295,5,,,,
Orotidine,Orotidine,X00006,10,,,,
Orotidine 5P,O5P,C01103,10,,,,
Oxaloacetate,OxAc,C00036,4,,,,
Palmitate,Palmitate,C00249,16,,,,
Palmitoyl-CoA,Palmitoyl-CoA,C00154,37,,,C37H66N7O17P3S,Fatty acid metabolism
Pantothenic acid (Vitamin B5),Pantothenate,C00864,9,,,,
Phenylalanine,Phe,C00079,9,,,,
Phosphate,PO4,C00009,0,,,,
Phosphocholine,P-Choline,C00588,5,,14.2,,
Phosphocreatine,P-Creatine,C02305,4,,16.1,,
Phosphoenolpyruvate,PEP,C00074,3,,,,
Phosphoethanolamine,P-EtA,C00346,2,,15.1,,
Phosphohydroxypyruvate,P-OH-Pyr,C03232,3,,,,
Phosphoserine,P-Ser,C01005,3,,,,
Pipecolate,Pipecolate,C00408,6,,,,
Proline,Pro,C00148,5,,,,
Putrescine,Putrescine,C00134,4,,,,Arginine and proline metabolism
Propanoyl-CoA,Propanoyl-CoA,C00100,24,,,C24H40N7O17P3S,"Valine, leucine and isoleucine degradation"
PRPP,PRPP,C00119,5,,,,
Pyridoxine,Pyridoxine,C00314,8,,,,
Pyrophosphate,PPi,C00013,0,,,,
Pyruvate,Pyr,C00022,3,,,,
Ribose,Rib,C00121,5,,,,
Ribose-5-phosphate,R5P,C00117,5,,,,
Ribosylamine 5P,RibN-5P,C03090,5,,,,
Ribulose-5-phosphate,Ribulose-5-phosphate,C00199,5,,,C5H11O8P,
S-Adenosyl-L-methionine,SAM,C00019,15,,,,
S-Adenosylhomocysteine,SAH,C00021,14,,,C14H20N6O5S,
Sarcosine,Sarc,C00213,3,,,,
Sedoheptulose-7-phosphate,S7P,C05382,7,,,,
Serotonin,Serotonin,C00780,10,,5.3,,Tryptophan metabolism
Serine,Ser,C00065,3,,,,
SerNAc,SerNAc,C00979,5,,,,
Shikimic acid,Shikimate,C00493,7,,,,
Sorbitol,Sorbitol,C00794,6,,,,
Spermidine,Spermidine,C00315,7,,,,Arginine and proline metabolism
Spermine,Spermine,C00750,10,,,,Arginine and proline metabolism
Succ Semialdehyde,Succ-Semialdehyde,C00232,4,,,,
Succinate,Succ,C00042,4,,,,
Succinyl-CoA,Succinyl-CoA,C00091,25,,,C25H40N7O19P3S,
T,T,C00214,10,,,,
Taurine,Taurine,C00245,2,,,,
Taurocholate,Taurocholate,C05122,26,,,,
Thiamine,Thiamine,C00378,12,,,,
Thiosulfate,HS2O3,C00320,0,,,,
Threonine,Thr,C00188,4,,,,
Thymine,Thymine,C00178,5,,,,
TMAO,TMAO,C01104,3,,,,
Trigonelline,Trigonelline,C01004,7,,,,
Tryptophan,Trp,C00078,11,,,,
Tyramine,Tyramine,C00483,8,,,,
Tyrosine,Tyr,C00082,9,,,,
U,U,C00299,9,,,,
UDP,UDP,C00015,9,,,,
UDP-D-glucoronate,UDP-GlucA,C00167,15,,,,
UDP-GlcNAc,UDP-GlcNAc,C00043,17,,,,
UDP-Glucose,UDP-Glc,C00029,15,,,,
UMP,UMP,C00105,9,,,,
Uracil,Uracil,C00106,4,,,,
Uric acid,Uric Acid,C00366,5,,,,
Urocanic Acid,Urocanate,C00785,6,,,,
UTP,UTP,C00075,9,,,,
Valerate,Valerate,C00803,5,,9,C5H10O2,
Valine,Val,C00183,5,,,,
Xanthine,Xanthine,C00385,5,,,,
